Overseas Stocks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2015-11-02T13:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hong Kong Stock Exchange,
Quoted in HK Dollars,
,
Trading date,Company name,Last sale,,
30/10/2015,Kumba Iron Ore Ltd,"5,992",,
30/10/2015,Lonmin PLC,539,,
30/10/2015,Massmart Holdings Ltd,"11,489",,
30/10/2015,Mondi Ltd,"32,193",,
30/10/2015,Mondi PLC,"32,122",,
30/10/2015,Mtn Group Ltd,"15,780",,
30/10/2015,Naspers Ltd,"202,700",,
30/10/2015,Nedbank Group Ltd,"23,049",,
30/10/2015,Old Mutual PLC,"4,503",,
30/10/2015,Reinet Investments SCA,"3,168",,
30/10/2015,Remgro Ltd,"27,726",,
30/10/2015,RMB Holdings,"6,748",,
30/10/2015,SABMiller PLC,"84,898",,
30/10/2015,Sanlam,"6,250",,
30/10/2015,Sasol Ltd,"44,318",,
30/10/2015,Shoprite Holdings Ltd,"14,400",,
30/10/2015,Standard Bank Group Ltd,"14,393",,
30/10/2015,Steinhoff International Holdings Ltd,"8,471",,
30/10/2015,Tiger Brands Ltd,"31,664",,
,
Korea Exchange,
Quoted in Korean Won,
,
Trading date,Company name,Last sale,,
30/10/2015,Daewoo Engineering & Construction Co Ltd,"6,510",,
30/10/2015,DAEWOO SECURITIES CO LTD,"11,100",,
30/10/2015,Daewoo Shipbuilding & Marine Engineering Co Ltd,"6,940",,
30/10/2015,Doosan Heavy Industries & Construction Co Ltd,"20,600",,
30/10/2015,GS Engineering & Construction Corp,"23,300",,
30/10/2015,GS Holdings Corp,"50,200",,
30/10/2015,Hana Financial Group Inc,"27,800",,
30/10/2015,Honam Petrochemical Corp,"240,500",,
30/10/2015,Hynix Semiconductor Inc,"30,700",,
30/10/2015,Hyundai Engineering & Construction Co Ltd,"34,600",,
30/10/2015,Hyundai Heavy Industries Co Ltd,"95,200",,
30/10/2015,Hyundai Merchant Marine Co Ltd,"5,960",,
30/10/2015,Hyundai Mobis Co Ltd,"240,000",,
30/10/2015,Hyundai Motor Co,"156,000",,
30/10/2015,Hyundai Steel Co,"52,100",,
30/10/2015,Industrial Bank Of Korea,"14,000",,
30/10/2015,Kangwon Land Inc,"42,300",,
30/10/2015,KB Financial Group Inc,"36,150",,
30/10/2015,KIA Motors Corp,"55,800",,
30/10/2015,Korea Electric Power Corp,"51,400",,
02/04/2013,Korea Exchange Bank,"7,010",,
30/10/2015,Korea Life Insurance Co Ltd,"8,490",,
30/10/2015,Korean Air Lines Co Ltd,"30,850",,
30/10/2015,KT Corp,"29,550",,
30/10/2015,KT&G Corp,"114,000",,
30/10/2015,LG Chem Ltd,"304,500",,
30/10/2015,LG Corp,"66,000",,
