Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:13 Tuesday 6/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.02,,,,,,,,,,,,
Apr,10,55.00,6.82,6.80,1,7,24.70,-1.00,-,,,
May,10,44.00,0.82,0.83,1,154,33.50,-0.20,11.95,,,
May,10,45.00,1.04,1.00,10,165,32.30,-0.25,15.15,,,
May,10,46.00,1.39,1.25,13,55,32.20,-0.31,20.18,,,
May,10,47.00,1.75,1.74,27,126,31.60,-0.37,25.57,,,
May,10,48.00,2.27,2.25,10,26,32.20,-0.44,33.14,,,
May,10,53.00,5.84,5.75,6,43,35.50,-0.74,14.93,,,
Dec,10,52.00,7.45,-,3,-,33.60,-0.53,10.48,,,
Dec,10,72.00,24.50,-,1,6,41.30,-0.92,1.95,,,
Dec,11,32.00,1.98,1.97,2,10,38.60,-0.13,2.40,,,
National Aust Bank Last Sale Price $27.94,,,,,,,,,,,,
Apr,10,26.00,0.05,0.05,23,462,21.00,-0.07,2.72,,,
Apr,10,26.50,0.07,0.08,99,381,18.50,-0.11,4.08,,,
Apr,10,27.00,0.16,0.17,207,705,18.30,-0.20,8.44,,,
Apr,10,27.50,0.25,0.27,35,410,16.50,-0.32,13.61,,,
Apr,10,28.00,0.46,0.47,66,238,16.20,-0.49,21.50,,,
Apr,10,28.50,0.76,0.87,1,53,16.30,-0.66,10.61,,,
May,10,24.00,0.04,0.06,10,296,24.90,-0.04,1.13,,,
May,10,25.00,0.10,0.10,12,411,23.10,-0.08,2.39,,,
May,10,25.50,0.12,0.14,30,242,21.60,-0.10,3.01,,,
May,10,25.51,0.12,0.14,20,126,21.50,-0.10,3.01,,,
May,10,26.00,0.17,0.17,3,233,20.50,-0.14,4.27,,,
May,10,26.50,0.25,0.27,35,259,19.70,-0.20,6.16,,,
May,10,27.00,0.35,0.52,10,224,19.00,-0.27,8.92,,,
May,10,27.50,0.50,0.52,60,105,18.40,-0.36,12.56,,,
May,10,28.00,0.69,0.97,10,112,17.50,-0.47,15.83,,,
May,10,28.50,0.93,0.92,2,90,16.40,-0.59,9.17,,,
Jun,10,25.50,0.34,0.51,20,110,21.10,-0.14,5.55,,,
Jun,10,26.50,0.59,0.79,13,694,19.90,-0.23,9.72,,,
Jun,10,27.50,1.00,1.00,2,474,19.20,-0.37,16.41,,,
Jun,10,28.00,1.26,1.27,4,853,18.60,-0.45,19.60,,,
Jun,10,30.00,2.73,5.80,2,265,17.80,-0.83,10.86,,,
Aug,10,26.00,0.75,0.81,15,-,21.40,-0.23,6.81,,,
Sep,10,28.00,1.73,1.72,79,311,21.00,-0.43,12.72,,,
Dec,10,23.50,0.70,1.13,2,26,24.60,-0.14,3.52,,,
Dec,10,26.50,1.61,1.63,4,148,22.40,-0.30,8.00,,,
Dec,11,18.00,0.63,0.65,4,6,30.50,-0.08,1.30,,,
Newcrest Min Last Sale Price $34.88,,,,,,,,,,,,
Apr,10,29.00,0.01,0.03,125,512,34.60,-0.01,0.65,,,
