Warrant Market - Weekly,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 18:17 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.86,,,,,,,,,,,,
ORGSMA,4.59,28/06/13,1:1,12.1,-,10.07,-,-,,,,
ORGSOC,6.86,26/06/14,1:1,10.71,10.73,11.64,-,-,,,,
ORGSWB,3.73,30/06/16,1:1,12.89,-,12.72,-,-,,,,
ORGSMB,4.29,29/06/18,1:1,12.4,-,11.80,-,-,,,,
ORGSZX,6.88,04/02/19,1:1,9.73,9.78,9.85,-,-,,,,
ORGSZW,8.88,04/02/19,1:1,7.73,7.78,7.80,6,40,,,,
Orica Ltd Last Sale Price $26.90,,,,,,,,,,,,
ORIIYH,24.04,14/05/10,1:1,3.26,3.52,2.23,-,-,,,,
ORIIMC,17.00,19/05/10,1:1,9.9,10.21,8.95,-,-,,,,
ORIIZQ,10.00,14/06/10,1:1,17,17.05,14.51,-,-,,,,
ORIIOA,17.90,23/06/10,1:1,9.39,9.41,7.87,-,-,,,,
ORISSR,6.05,30/06/10,1:1,20.88,20.89,19.68,-,-,,,,
ORISMU,9.21,30/06/10,1:1,17.66,-,19.81,-,-,,,,
ORIJMJ,12.90,30/06/10,1:1,14.55,14.86,12.80,-,-,,,,
ORIJMG,19.01,30/06/10,1:1,8.45,-,6.32,-,-,,,,
ORIMMH,26.01,30/06/10,1:1,2.13,-,-,-,-,,,,
ORIMMI,26.01,30/06/10,1:1,1.4,-,0.39,-,-,,,,
ORIIOK,18.00,23/09/10,1:1,9.85,9.87,8.83,-,-,,,,
ORIIZZ,12.50,03/06/11,1:1,16.03,16.08,15.02,-,-,,,,
ORISMV,12.69,30/06/11,1:1,14.31,-,10.22,-,-,,,,
ORISM3,26.30,30/06/11,1:1,2.72,-,-,-,-,,,,
ORIIOO,16.00,15/12/11,1:1,13.42,13.44,-,-,-,,,,
ORISMW,15.62,29/06/12,1:1,11.46,-,11.26,-,-,,,,
ORISMA,16.91,28/06/13,1:1,10.65,-,9.54,-,-,,,,
ORISOC,6.62,26/06/14,1:1,20.65,20.67,20.55,-,-,,,,
ORISSA,15.95,30/06/14,1:1,12.93,-,6.35,-,-,,,,
ORISWB,12.14,30/06/16,1:1,15.32,-,14.63,-,-,,,,
ORISMY,16.93,30/06/17,1:1,10.36,-,9.42,-,-,,,,
ORISMB,18.10,29/06/18,1:1,9.85,-,11.03,-,-,,,,
Oil Search Ltd Last Sale Price $5.99,,,,,,,,,,,,
OSHIMC,2.75,19/05/10,1:1,3.23,3.32,3.31,55,305,,,,
OSHIMD,4.00,19/05/10,1:1,2,2.09,2.00,-,-,,,,
OSHJMJ,4.03,30/06/10,1:1,2.16,2.25,2.39,-,-,,,,
OSHJMG,4.76,30/06/10,1:1,1.33,-,2.44,-,-,,,,
OSHJMH,5.25,30/06/10,1:1,1.25,1.34,0.685,-,-,,,,
OSHMMH,5.92,30/06/10,1:1,0.515,-,-,-,-,,,,
OSHIOK,5.00,23/09/10,1:1,1.445,1.465,1.35,-,-,,,,
OSHIMF,3.25,17/11/10,1:1,2.88,2.97,2.40,-,-,,,,
