FR INV WARRANTS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Report at Friday, February 11, 2011. Processed Saturday at 2011-02-12T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
Asciano Grp Last Sale Price $1.71,
BHPWOT,,41.50,24/02/11,4:1,.018,.023,.50,,,,
BHPWOR,,43.50,24/02/11,4:1,.046,.051,.10,-2.5,1000,,
BHPWOZ,,45.50,24/02/11,4:1,.155,.16,.155,-4,170,,
BHPWMR,,40.00,24/03/11,4:1,.078,.088,,,,,
BHPWMP,,42.00,24/03/11,4:1,.145,.16,.15,,,,
BHPVZZ,,43.00,24/03/11,4:1,.115,.14,,,,,
BHPWMQ,,44.00,24/03/11,4:1,.255,.28,.26,-27.5,884,,
BHPVOS,,40.00,28/04/11,4:1,.19,.195,.355,,,,
BHPVOR,,42.00,28/04/11,4:1,.285,.29,,,,,
BHPVOQ,,44.00,28/04/11,4:1,.415,.42,.63,,,,
BHPVOP,,46.00,28/04/11,4:1,.62,.625,.605,-6.5,370,,
,
Boral Last Sale Price $5.30,
BLDWMP,,4.50,24/03/11,1:1,.029,.036,,,,,
,
BlueScope Steel Last Sale Price $2.17,
BSLWOQ,,1.75,24/02/11,2:1,.011,.016,.067,,,,
BSLWOP,,2.25,24/02/11,2:1,.07,.075,.185,,,,
BSLWOS,,2.00,28/04/11,2:1,.065,.07,,,,,
BSLWOR,,2.50,28/04/11,2:1,.21,.215,,,,,
,
Brambles Last Sale Price $7.08,
BXBVMT,,5.50,24/03/11,1:1,.006,,.565,,,,
,
C'wlth Bank of Aust Last Sale Price $55.12,
CBAVZP,,49.00,24/02/11,5:1,.001,.04,.072,,,,
CBAVOR,,45.00,24/03/11,5:1,.032,.037,.27,,,,
CBAWMP,,46.00,24/03/11,4:1,.03,.03,,,,,
CBAWMQ,,48.00,24/03/11,4:1,.058,.073,.37,,,,
CBAVOQ,,48.50,24/03/11,5:1,.087,.092,,,,,
CBAUMR,,50.00,24/03/11,4:1,.11,.135,.34,,,,
CBAVZQ,,51.00,24/03/11,5:1,.094,.10,,,,,
CBAVOP,,52.50,24/03/11,5:1,.275,.28,.26,-24.5,1020,,
CBAWOR,,48.00,26/05/11,5:1,.185,.19,,,,,
CBAWOQ,,51.00,26/05/11,5:1,.325,.33,,,,,
CBAWOP,,54.00,26/05/11,5:1,.545,.55,.525,,7300,,
,
David Jones Last Sale Price $4.44,
DJSUMZ,,4.00,24/03/11,1:1,.044,.052,,,,,
,
Fortescue Metals Grp Last Sale Price $6.72,
FMGWMP,,6.50,24/03/11,1:1,.25,.27,.315,,,,
FMGWOQ,,5.50,28/04/11,3:1,.055,.06,.095,,,,
FMGWOP,,6.50,28/04/11,3:1,.155,.16,.195,,,,
,
Incitec Pivot Last Sale Price $4.62,
IPLWMQ,,3.75,24/03/11,1:1,.012,,,,,,
,
