ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:34 Thursday 8/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.136,0.041,-,-,BRW,Breakaway Res,0.043,,-,0.043,0.049,-,,-,-,-,-0.5,-
4.05,1.15,3.03,2.98,BRM,Brockman Res,2.99,1,648,2.97,2.99,-,,-,-,-,-14.9,-
0.235,0.054,0.125,0.105,BMY,Brumby Res,0.125,2.5,6292,0.12,0.13,-,,-,-,-,-3.2,-
0.145,0.04,-,-,BMYOA,  opt sep11,0.04,,-,0.04,0.06,-,,-,-,-,-,-
0.17,0.03,0.048,0.046,BCC,Buccaneer Energy,0.046,-0.2,17009,0.046,0.047,-,,-,-,-,-6.33,-
0.105,0.007,-,-,BCCO,  opt nov12,0.028,,-,0.028,0.037,-,,-,-,-,-,-
0.075,0.025,0.047,0.047,BYR,Burey Gold Ltd,0.047,,1511,0.047,0.05,-,,-,-,-,-0.57,-
0.006,0.006,-,-,BYRO,  opt jun11,0.006,,-,0.007,0.01,-,,-,-,-,-,-
0.125,0.041,0.06,0.055,BUR,Burleson Energy,0.057,0.1,40898,0.056,0.057,-,,-,-,-,-1.75,-
0.029,0.001,0.001,0.001,BURO,  opt aug10,0.001,-0.2,3065,0.001,0.004,-,,-,-,-,-,-
0.41,0.165,0.37,0.365,BRU,Buru Energy,0.365,-1,1598,0.365,0.37,-,,-,-,-,11.57,3.2
0.015,0.003,0.005,0.005,BRUO,  opt oct10,0.005,-0.1,1383,0.005,0.01,-,,-,-,-,-,-
0.11,0.055,-,-,BUX,Buxton Res Ltd,0.08,,-,0.08,0.084,-,,-,-,-,-0.75,-
1.35,0.445,0.45,0.445,CCD,Caledon Res cdi,0.445,,235,0.45,0.60,-,,-,0.41,-,-5.4,-
0.031,0.008,0.01,0.01,CUU,Callabonna Uranium,0.01,,17500,0.01,0.011,-,,-,0.01,-,-0.9,-
0.31,0.25,-,-,CAY,Canyon Res Ltd,0.28,,-,0.26,0.325,-,,-,-,-,-,-
0.55,0.38,-,-,CBX,Cape Alumina Ltd,0.40,,-,0.30,0.395,-,,-,-,-,-0.54,-
