Warrants Market - Daily,,,,,,,,,,,,
XAO 4695.2 at 16:47 7/12/2009  Report at 19:05 Monday 7/12/2009. Processed 19:20 Monday 7/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.16,,,,,,,,,,,,
WPLWOS,45.00,17/12/09,5:1,0.062,0.067,-,-,-
WPLWZZ,48.00,17/12/09,5:1,0.275,0.30,-,-,-
WPLWOT,49.00,17/12/09,5:1,0.345,0.35,0.24,-,-
WPLVZP,50.00,28/01/10,5:1,0.88,0.905,1.02,-,-
WPLVMS,50.00,25/03/10,5:1,1.04,1.045,-,-,-
WPLVMU,55.00,29/04/10,5:1,1.805,1.81,-,-,-
Basket Put Warrants ,,,,,,,,
Equity Endowment Warrants ,,,,,,,,
ANZ Banking Grp Last Sale Price $21.95,,,,,,,,
ANZEEA,5.95,15/02/12,1:1,16.20,16.30,16.12,-,-
C'wlth Bank  of Aust  Last Sale Price $53.79,,,,,,,,
CBAEEA,11.31,15/02/12,1:1,42.96,-,42.92,-,-
National Aust Bank Last Sale Price $28.00,,,,,,,,
NABEEA,19.02,15/02/12,1:1,9.03,-,9.33,-,-
Telecom Corp Last Sale Price $1.86,,,,,,,,
TELEEA,1.52,15/02/12,1:1,0.365,-,1.50,-,-
Telstra Corp Last Sale Price $3.45,,,,,,,,
TLSEEA,2.24,02/10/12,1:1,1.27,-,1.30,-,-
Westpac Banking Last Sale Price $23.89,,,,,,,,
WBCEEA,4.51,15/02/12,1:1,19.71,-,21.95,-,-
Equity Installment Warrants ,,,,,,,,
APN European Retail Last Sale Price $0.07,,,,,,,,
AEZSZC,0.75,30/06/17,1:1,0.039,-,0.022,-,-
Aust Foundation Last Sale Price $5.15,,,,,,,,
AFISMW,3.25,29/06/12,1:1,2.04,-,1.805,-,-
AFISMA,3.47,28/06/13,1:1,1.855,-,-,-,-
AFISZB,2.44,30/06/16,1:1,3.12,-,2.52,-,-
AMP Capital China Last Sale Price $1.09,,,,,,,,
AGFJMG,0.60,30/06/10,1:1,-,-,-,-,-
AGL Energy Ltd Last Sale Price $13.72,,,,,,,,
AGKIOO,6.50,15/12/09,1:1,7.24,-,7.45,-,-
AGKIYH,11.50,14/05/10,1:1,2.63,2.91,2.93,-,-
AGKIMC,7.50,19/05/10,1:1,6.66,6.70,6.62,-,-
AGKIMD,11.00,19/05/10,1:1,3.56,3.59,3.84,-,-
AGKISI,9.25,25/05/10,1:1,4.76,-,-,-,-
AGKIZQ,8.00,14/06/10,1:1,6.08,6.13,6.10,-13,146
AGKIOA,7.00,23/06/10,1:1,7.06,7.08,7.17,-,-
AGKSSR,7.32,30/06/10,1:1,6.75,6.76,6.87,-,-
AGKJMG,8.33,30/06/10,1:1,5.86,-,7.65,-,-
AGKJMH,11.00,30/06/10,1:1,3.53,3.56,3.55,-11,26
