Industrial Market - Daily,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio
0.05,0.003,-,-,BODOA,  opt dec11,0.015,-,-,0.008,0.015,-,,-,-,-,-,-
1.54,1.2,-,-,BNC,Bioniche cdi,1.35,-,50,1.25,1.37,-,,-,-,-,-,-
0.44,0.24,0.4,0.385,BNO,Bionomics,0.385,-1.5,545,0.385,0.4,-,,-,0.04,-,-2.7,-
0.024,0.006,0.018,0.017,BPO,BioProspect,0.018,0.1,21760,0.016,0.018,-,,-,-,-,-0.67,-
0.007,0.001,-,-,BPOO,  opt dec13,0.005,-,-,0.004,0.005,-,,-,-,-,-,-
2.4,0.85,0.98,0.955,BTA,Biota Hldgs,0.96,-,3995,0.96,0.97,-,,-,0.47,-,-18.7,-
0.26,0.12,-,-,BTC,Biotech Capital,0.13,-,-,0.135,0.15,2,,-,0.2,15.38,-8.6,-
0.15,0.051,0.095,0.094,BIT,Biotron,0.095,-,576,0.093,0.099,-,,-,-,-,-1.73,-
0.045,0.007,0.025,0.025,BITO,  opt dec11,0.025,0.1,10000,0.023,0.025,-,,-,-,-,-,-
0.25,0.15,0.155,0.155,BIS,Bisalloy Steel,0.155,0.5,560,0.15,0.155,-,,-,0.04,-,1.8,8.6
0.049,0.025,-,-,BSN,Bisan,0.025,-,-,0.026,0.035,-,,-,0.02,-,-0.79,-
1.3,1.086,1.22,1.205,BKI,BKI Invest,1.21,0.5,12033,1.21,1.22,5.75,f,1.13,1.42,4.75,6.5,18.6
0.013,0.004,-,-,BKM,BKM Management,0.006,-,-,0.005,0.008,-,,-,-,-,-0.15,-
32.1,20.6,29.86,29.6,BKL,Blackmores,29.85,27,27,29.8,29.87,114,f,1.35,4.11,3.82,154.4,19.3
0.035,0.015,0.018,0.018,BIV,Blue Capital,0.018,-0.1,1331,0.018,0.019,-,,-,0.04,-,0.33,5.5
