ASX Industrials Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Thursday, April 5, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4402.3 at 2012-04-05T16:35:50. Report at Thursday, April 5, 2012. Processed Saturday at 2012-04-07T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ABW,69.025,1.082,.218,.007,1.10,1.0,7.61,14.4,8.92,.85,8.15,,Aurora Absolute Return,,1.095,-,1.09,1.095,1.095,1.09,+.40,1.15,1.085,,
AFV,17.220,.023,.022,.002,-,-,-45.95,-,-,-,-,,Aurora Funds,,.20,-10,.20,.35,.25,.20,-32.93,1.15,.20,,
AIB,-,.288,.696,.012,1.08,1.0,-.06,-,11.30,-,10.76,,Aurora Global Inc Tr,,1.05,-,-,-,1.05,1.05,+.40,1.21,1.035,,
AOD,62.457,1.521,6.284,.026,.91,1.0,-4.33,-,5.70,-,6.10,,Aurora Sandringham,,.935,-.5,-,-,.945,.935,-.13,1.04,.85,,
AQF,50.044,.807,.319,.058,1.50,1.0,6.10,24.8,8.50,.72,5.63,f,Aust Gov Index Fund,,1.51,-,1.51,1.60,1.53,1.51,+.40,1.75,1.36,,
AZF,28.117,.768,.999,.047,2.32,.7,7.73,21.3,13.90,.56,8.42,,AUS Social Infr Fund,,1.65,+3.5,1.65,1.70,1.70,1.615,+2.57,1.70,1.31,,
ASL,4653.28,95.104,64.977,1.227,2.19,1.8,31.35,12.9,13.00,2.41,3.22,f,Ausdrill,,4.04,-17,4.00,4.04,4.34,3.98,-3.64,4.34,2.52,,
AAX,1797.44,23.341,20.381,.515,.61,6.9,21.50,19.4,12.90,1.67,3.09,p,Ausenco,,4.18,-15,4.17,4.19,4.50,4.12,-3.06,4.72,1.91,,
AAC,1142.81,21.312,18.635,.419,2.15,.6,3.60,37.2,-,-,-,,Aust Agriculture,,1.34,+3.5,1.32,1.34,1.35,1.305,+3.08,1.705,1.245,,
AAK,3800.00,16.828,78.605,.004,.02,.1,.03,3.3,-,-,-,,Aust China Hldgs,,.001,-,.001,.002,.001,.001,+.40,.003,.001,,
AAKO,-,.500,1.950,.003,-,-,-,-,-,-,-,,  opt dec13,,.001,-,-,-,.001,.001,+.40,.001,.001,,
AEU,107.004,6.162,6.703,.175,1.20,.8,9.60,10.4,9.45,1.02,9.45,,Aust Education,,1.00,+3.5,.985,1.00,1.01,.97,+4.03,1.02,.76,,
AYF,4.082,.107,.125,.018,6.40,1.0,9.90,62.3,48.75,.20,7.90,p,Aust Enhanced,,6.17,+2.3,-,-,6.20,6.15,+.77,6.70,5.74,,
AEF,.195,.010,.011,.019,6.70,2.9,108.09,17.8,125.00,.86,6.49,f,Aust Ethical,,19.25,-75,19.25,19.50,20.00,19.25,-3.35,24.03,18.40,,
AFI,1430.41,16.925,23.377,4.327,4.48,.9,23.02,18.3,21.00,1.10,4.99,f,Aust Foundation,,4.21,-1,4.21,4.23,4.25,4.18,+.16,4.86,3.82,,
AIX,5980.21,83.437,81.277,1.403,2.92,.8,31.08,7.3,10.00,3.11,4.42,p,Aust Infrastructure Fd,,2.26,-2,2.23,2.26,2.34,2.21,-.48,2.34,1.62,,
ALF,221.378,2.879,2.768,.077,1.30,.9,-7.00,-,11.00,-,9.52,f,Aust Leaders Fund,,1.155,-.5,1.15,1.16,1.165,1.15,-.03,1.31,1.005,,
API,2464.06,36.592,25.653,.149,.74,.4,-4.80,-,2.50,-,8.20,,Aust Pharmaceutical,,.305,-.5,.295,.305,.31,.295,-1.21,.325,.205,,
APK,153.330,3.880,11.005,.093,.02,24.5,-4.96,-,.50,-,1.02,,Aust Power & Gas,,.49,-2,.49,.51,.51,.49,-3.52,.62,.45,,
