Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, April 10, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5935.4 at 2015-04-10T16:39:06. Report at Friday, April 10, 2015. Processed Saturday at 2015-04-11T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
67,65,HSO,Healthscope,5.179,2.99,-2,3.15,2.09,3.30,,1.10,1.10,-,3.70,80.8,-,2.356,.25,-,-,,
68,69,BLD,Boral,5.158,6.59,+15,6.66,4.68,16.50,f,2.50,3.58,36.4,38.93,16.9,8.6,1.468,4.18,14.5,18.9,,
69,66,COH,Cochlear,5.136,89.97,-129,93.97,56.42,217.00,p,2.41,2.68,.8,252.90,35.6,-29.3,16.013,1.58,66.6,18.4,,
70,70,HVN,Harvey Norman,4.842,4.36,-2,4.59,2.879,17.00,f,3.90,5.57,55.6,22.63,19.3,8.2,1.939,2.37,44.8,36.8,,
71,71,PTM,Platinum Asset,4.747,8.12,+2,9.50,5.72,37.00,f,4.56,6.51,54.5,32.00,25.4,43.7,12.616,.64,16.1,32.9,,
72,72,AWC,Alumina,4.602,1.64,+6.5,2.10,1.285,2.04,f,1.24,1.78,-,-4.27,-,-,1.619,.94,44.4,11.8,,
73,73,ANN,Ansell,4.475,29.22,+58,29.84,17.81,49.24,,1.69,1.69,11.5,45.53,64.2,11.2,3.461,.63,51.9,25.3,,
74,74,FDC,Federation Cntres,4.383,3.07,-,3.19,2.335,16.20,,5.28,5.28,8.5,30.63,10.0,7.6,1.233,2.44,39.6,26.5,,
75,76,HGG,Henderson Grp,4.206,5.75,+23,5.78,3.40,17.17,,2.99,2.99,17.6,45.19,12.7,-11.7,2.104,.57,19.9,47.5,,
76,79,FLT,Flight Centre Travel,4.146,41.13,+167,54.81,31.41,152.00,f,3.70,5.28,10.9,195.20,21.1,5.6,3.735,7.66,-19.6,27.3,,
