Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, July 31, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5681.7 at 2015-07-31T16:43:36. Report at Friday, July 31, 2015. Processed Saturday at 2015-08-01T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
212,209,ISD,Isentia Grp,.698,3.49,-2,3.95,2.42,3.10,,.89,.89,-,4.80,72.7,-,7.043,-.12,41.4,-,,
213,211,ASB,Austal,.687,1.98,-2,2.12,1.06,1.00,f,.51,.72,-,14.79,13.4,-14.7,1.586,1.36,67.3,7.4,,
214,218,GXL,Greencross,.680,6.05,+28,10.78,4.95,15.00,f,2.48,3.54,25.6,-194.86,-,281.2,2.115,-.92,-40.8,39.0,,
215,220,GWA,GWA Grp,.678,2.43,+14,3.13,2.11,5.50,f,2.26,3.23,-54.2,6.07,40.0,12.5,1.591,.19,-15.8,8.9,,
216,215,SGF,SG Fleet Grp,.677,2.79,-1,2.91,1.665,8.72,f,3.13,4.47,-,8.12,34.4,-,5.248,-.01,64.8,-,,
217,216,SPH,Sphere Minerals,.677,3.10,-,3.10,3.10,-,,-,-,-,-174.20,-,18014.9,-,-,-,1.1,,
218,212,CGC,Costa Hldgs,.672,2.10,-6,2.27,2.01,-,,-,-,-,-,-,-,2.212,-,-,-,,
219,221,AWE,AWE,.663,1.26,+7.5,1.995,1.055,-,f,-,-,-,-15.45,-,-59.6,.704,1.44,-31.0,-5.2,,
220,217,TSE,Transfield Services,.661,1.29,-.5,1.97,1.22,-,,-,-,-100.0,11.40,11.3,24.3,.874,.40,-5.1,-9.3,,
221,235,FLN,Freelancer,.658,1.48,+22,1.50,.515,-,,-,-,-,-.43,-,-,39.112,-,85.0,-,,
